nt n4 type kernel bw
96 80 array-internal Triad 287.1163
96 80 static Set 220.2449
96 80 static Copy 289.2612
96 80 static Scale 290.6684
96 80 static Add 330.5696
96 80 static Triad 329.8295
96 96 array-external Set 220.4826
96 96 array-external Copy 257.2277
96 96 array-external Scale 286.6274
96 96 array-external Add 332.8439
96 96 array-external Triad 320.9502
96 96 array-internal Set 209.9906
96 96 array-internal Copy 240.6984
96 96 array-internal Scale 269.9332
96 96 array-internal Add 305.4417
96 96 array-internal Triad 303.4399
96 96 static Set 218.9812
96 96 static Copy 293.5423
96 96 static Scale 294.4873
96 96 static Add 333.6998
96 96 static Triad 334.6422
